8 threads:
4096 blocks per slice
i 00311 v 00000000000a6cbf
i 00312 v 00000000000a8ba1
i 00313 v 00000000000a9f70
i 00314 v 00000000000b0237
i 00315 v 00000000000b0cfc
i 00316 v 00000000000b1890
i 00317 v 00000000000b43d6
i 00318 v 00000000000b6cb8
i 00319 v 00000000000b95a9
i 00320 v 00000000000bd62a
i 00321 v 00000000000bf00c
i 00322 v 00000000000c24ab
i 00323 v 00000000000c7857
i 00324 v 00000000000c9456
i 00325 v 00000000000cc0f7
i 00326 v 00000000000ce15e
i 00327 v 00000000000ce624
i 00328 v 00000000000d1266
i 00329 v 00000000000d16bf
i 00330 v 00000000000d7ad3
i 00331 v 00000000000e01c2
i 00332 v 00000000000e1195
i 00333 v 00000000000e140c
i 00334 v 00000000000e6596
i 00335 v 00000000000e9c5a
i 00336 v 00000000000ea669
i 00337 v 00000000000ec45b
i 00338 v 00000000000ee8c5
i 00339 v 00000000000f2a53
i 00340 v 00000000000f69fd
i 00341 v 00000000000f9094
i 00342 v 0000000000100000
i 00343 v 00000000001000fa
i 00344 v 000000000010026d
i 00345 v 000000000010030c
i 00346 v 0000000000100461
i 00347 v 0000000000100559
i 00348 v 0000000000100d64
i 00349 v 0000000000100f82
i 00350 v 00000000001011d1
i 00351 v 00000000001015ad
i 00352 v 0000000000101e8b
i 00353 v 000000000010235e
i 00354 v 00000000001029d3
i 00355 v 0000000000103749
i 00356 v 0000000000103bbf
i 00357 v 0000000000104398
i 00358 v 000000000010531b
i 00359 v 000000000010548a
i 00360 v 0000000000106432
i 00361 v 0000000000106819
i 00362 v 0000000000106bad
i 00363 v 0000000000109267
i 00364 v 0000000000109bfd
i 00365 v 000000000010a02d
i 00366 v 000000000010ad97
i 00367 v 000000000010d546
i 00368 v 000000000010de3c
i 00369 v 000000000010efec
i 00370 v 0000000000111384
i 00371 v 0000000000112283
i 00372 v 0000000000114715
i 00373 v 0000000000114d5b
i 00374 v 000000000011722a
i 00375 v 0000000000119e35
i 00376 v 000000000011aafe
i 00377 v 000000000011c537
i 00378 v 000000000011ecdd
i 00379 v 000000000011f945
i 00380 v 0000000000120a25
i 00381 v 0000000000125b7d
i 00382 v 00000000001264cf
i 00383 v 00000000001269c4
i 00384 v 000000000012772f
i 00385 v 00000000001292ed
i 00386 v 000000000012ab53
i 00387 v 000000000012bc95
i 00388 v 000000000012dc47
i 00389 v 0000000000130f27
i 00390 v 000000000013160d
i 00391 v 0000000000133f6f
i 00392 v 00000000001344a6
i 00393 v 000000000013ae43
i 00394 v 000000000013fc22
i 00395 v 0000000000140a75
i 00396 v 000000000014338a
i 00397 v 0000000000145e21
i 00398 v 000000000014818c
i 00399 v 0000000000156273
i 00400 v 0000000000157f9d
i 00401 v 000000000015aff5
i 00402 v 000000000015b054
i 00403 v 00000000001615ce
i 00404 v 0000000000161934
i 00405 v 0000000000162cae
i 00406 v 0000000000167b14
i 00407 v 0000000000168557
i 00408 v 000000000016d7f5
i 00409 v 000000000016fdfb
i 00410 v 000000000017aacd
i 00411 v 000000000017c811
i 00412 v 000000000017f625
i 00413 v 0000000000180fc8
i 00414 v 0000000000186f16
i 00415 v 000000000018899a
i 00416 v 00000000001894e7
i 00417 v 00000000001914a5
i 00418 v 00000000001918c0
i 00419 v 0000000000192bdd
i 00420 v 0000000000195483
i 00421 v 000000000019e93e
i 00422 v 00000000001a0c87
i 00423 v 00000000001a3c8e
i 00424 v 00000000001acd9b
i 00425 v 00000000001aed48
i 00426 v 00000000001af38e
i 00427 v 00000000001b5543
i 00428 v 00000000001b7c35
i 00429 v 00000000001bb03c
i 00430 v 00000000001bb6db
i 00431 v 00000000001c0c8b
i 00432 v 00000000001c5bf7
i 00433 v 00000000001ca83d
i 00434 v 00000000001cc060
i 00435 v 00000000001cffb8
i 00436 v 00000000001d03a1
i 00437 v 00000000001d1959
i 00438 v 00000000001d9d4d
i 00439 v 00000000001e0df3
i 00440 v 00000000001f1763
i 00441 v 00000000001f8acb
i 00442 v 00000000001fc229
i 00443 v 0000000000200000
0.042 ms for 21 check bits
i 00444 v 000000000020011a
i 00445 v 000000000020020b
i 00446 v 0000000000200344
i 00447 v 00000000002004c4
i 00448 v 00000000002008bf
i 00449 v 0000000000200bce
i 00450 v 0000000000200d7c
i 00451 v 0000000000200e29
i 00452 v 0000000000201206
i 00453 v 0000000000201d4b
i 00454 v 0000000000202793
i 00455 v 0000000000203088
i 00456 v 00000000002036f6
i 00457 v 0000000000203a27
i 00458 v 0000000000205154
i 00459 v 0000000000205eb9
i 00460 v 0000000000206202
i 00461 v 000000000020683d
i 00462 v 0000000000208756
i 00463 v 00000000002094b0
i 00464 v 0000000000209a6f
i 00465 v 000000000020adf7
i 00466 v 000000000020b3cd
i 00467 v 000000000020c16b
i 00468 v 000000000020f60f
i 00469 v 00000000002106bc
i 00470 v 0000000000210a6e
i 00471 v 0000000000212a3a
i 00472 v 000000000021417c
i 00473 v 00000000002161f3
i 00474 v 0000000000216334
i 00475 v 0000000000218be3
i 00476 v 000000000021d621
i 00477 v 000000000021e6e8
i 00478 v 0000000000220781
i 00479 v 0000000000223d50
i 00480 v 0000000000224f4b
i 00481 v 000000000022609d
i 00482 v 0000000000228942
i 00483 v 00000000002297fc
i 00484 v 0000000000229cd5
i 00485 v 000000000022a7fa
i 00486 v 000000000022c75f
i 00487 v 000000000022f730
i 00488 v 0000000000231ac8
i 00489 v 0000000000231f9b
i 00490 v 0000000000237383
i 00491 v 00000000002383bc
i 00492 v 000000000023a547
i 00493 v 000000000023ec1c
i 00494 v 0000000000245fe6
i 00495 v 0000000000246c2c
i 00496 v 0000000000249be8
i 00497 v 000000000024a15a
i 00498 v 000000000024c19f
i 00499 v 000000000024e018
i 00500 v 0000000000254bb7
i 00501 v 0000000000254ebd
i 00502 v 000000000025b42e
i 00503 v 00000000002609ca
i 00504 v 0000000000262c5e
